Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Cecchetti,Hyginus,Paolo,Igino,null,1,1,1,0,null,https://www.wikidata.org/wiki/Q93269645,http://viaf.org/viaf/208122989,https://worldcat.org/identities/viaf-208122989/,null,null,null,council,0,Italy,1901,1964,61,63,null,null,null,null,null,died,null,null,null,null,null,null,
Cerfaux,Lucianus,Lucien,null,null,1,1,1,1,https://fr.wikipedia.org/wiki/Lucien_Cerfaux,https://www.wikidata.org/wiki/Q23021266,http://viaf.org/viaf/79022095,https://worldcat.org/identities/lccn-n50034326/,null,null,Biography (book),council,1,Belgium,1883,1968,79,85,null,null,null,https://i0.wp.com/areopage.net/blog/wp-content/uploads/2015/06/LucienCerfaux.png?w=324,null,null,null,null,null,null,null,null,
Ceriani,Gratiosus,Grazioso,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q88528338,http://viaf.org/viaf/12054724,https://worldcat.org/identities/lccn-no2006023224/,null,null,Subject of article,council,0,Italy,1906,1974,56,68,null,null,null,https://www.chiesadimilano.it/wp-content/uploads/2017/02/1.28675.jpg,null,null,null,null,null,null,null,null,
Chavasse,Antonius,Antoine,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q55770599,http://viaf.org/viaf/120726448,https://worldcat.org/identities/lccn-n85033705/,null,null,Subject of article,council,0,France,1909,1983,53,74,null,null,null,null,null,null,null,null,null,null,null,null,
Che-Chen-Tao,Vincentius,Vincenzo,null,null,1,1,1,1,null,null,null,null,null,null,Mentioned in book,council,0,China,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Chenu,,Marie-Dominique,null,OP,null,null,null,null,https://en.wikipedia.org/wiki/Marie-Dominique_Chenu,https://www.wikidata.org/wiki/Q1235373,http://viaf.org/viaf/108977559,https://worldcat.org/identities/lccn-n50038218/,https://www.findagrave.com/memorial/177916175/marie-dominique-chenu,null,Subject of article (encyclopedia),private,0,France,1895,1990,67,95,null,null,null,null,https://www.wikidata.org/wiki/Q1235373#/media/File:Chenu.jpg,null,9781925232318,null,null,null,"book placed on Index of Forbidden Books, temporarily forbidden to teach, connected to Nouvelle Theologie",null,
Chereath,Sebastianus,Sebastian,null,null,1,1,1,1,null,null,http://viaf.org/viaf/88663377,https://worldcat.org/identities/viaf-88663377/,null,null,null,council,0,India,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Ciappi,Aloisius,Mario,Luigi,OP,1,1,1,1,https://en.wikipedia.org/wiki/Mario_Luigi_Ciappi,https://www.wikidata.org/wiki/Q977215,http://viaf.org/viaf/190069144,https://worldcat.org/identities/lccn-n85220457/,https://www.findagrave.com/memorial/26830305/mario-luigi-ciappi,http://www.catholic-hierarchy.org/bishop/bciappi.html,null,council,11,Italy,1909,1996,53,87,Cardinal,null,null,https://images.findagrave.com/photos250/photos/2008/135/26830305_121085736856.jpg,null,null,null,yes (different first name),null,null,null,null,personal theologian to 5 popes
Cik,Xaverius,Stanislav,Xaver,null,0,0,1,1,null,null,http://viaf.org/viaf/88638298,null,null,null,Subject of article,council,0,Slovakia,1916,2003,46,87,null,null,null,https://blogger.googleusercontent.com/img/a/AVvXsEh_yxGxd1zeDxIXK5H5uzEq539ZzDWSPXrm7cVxuMbgbaCnid3mWMaNFsdZZsqXKvwfh0s0bOuLLTsDjeAyXpI6ck0Mopo2Vc4qCW754raTJbTrPPHJlgji_AZvW8NpSmMbRme0bY5xzBtZhQAtdmg60gQ0xlZttfdllQsBJBDBHiz_tiMLE49-5Gut,null,null,null,null,null,null,null,null,
Civardi,Ernestus,Ernesto,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Ernesto_Civardi,https://www.wikidata.org/wiki/Q1334047,http://viaf.org/viaf/5711151247999844270009,null,https://www.findagrave.com/memorial/50481818/ernesto-civardi,http://www.catholic-hierarchy.org/bishop/bcivardi.html,Obituary,council,13,Italy,1906,1989,56,83,Cardinal,null,null,https://images.findagrave.com/photos250/photos/2010/89/50481818_127003818957.jpg,null,null,null,null,null,null,null,null,
Clark,Alanus,Alan,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Alan_Clark_(bishop),https://www.wikidata.org/wiki/Q4706357,http://viaf.org/viaf/23715117/,https://worldcat.org/identities/lccn-n88622628/,null,https://www.catholic-hierarchy.org/bishop/bclarka.html,Obituary,council,3,England,1919,2002,43,83,Bishop,null,null,null,null,null,null,null,null,null,null,null,
Clark,Richardus,Richard,null,null,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,USA,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Coffey,Iacobus,James,null,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/159549265/james-f-coffey,null,Obituary,council,0,USA,1908,2007,54,99,null,null,null,null,null,null,null,null,no,null,null,null,
Colombo,Carolus,Carlo,null,null,1,1,0,0,https://it.wikipedia.org/wiki/Carlo_Colombo_(vescovo),https://www.wikidata.org/wiki/Q3659207,http://viaf.org/viaf/51847012,https://worldcat.org/identities/viaf-51847012/,null,http://www.catholic-hierarchy.org/bishop/bcolomboc.html,Mentioned in article,council,1,Italy,1909,1991,53,82,Bishop,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=ncr19670712-01.2.10&e=-------en-20--1--txt-txIN--------,appointed bishop,null,null,null,null,null,null,"Pope Paul VI's advisor, ""the pope's theologian"""
Combes,Andreas,Andre,null,null,1,1,1,1,https://fr.wikipedia.org/wiki/Andr%C3%A9_Combes_(1899-1969),https://www.wikidata.org/wiki/Q19630782,http://viaf.org/viaf/110916929,https://worldcat.org/identities/lccn-n79054400/,null,null,null,council,1,France,1899,1969,63,70,Abbot,null,null,null,null,null,null,null,null,null,null,null,
Congar,Ivo,Yves,null,OP,1,1,1,1,https://en.wikipedia.org/wiki/Yves_Congar,https://www.wikidata.org/wiki/Q363970,http://viaf.org/viaf/31994764,https://worldcat.org/identities/lccn-n50028692/,https://www.findagrave.com/memorial/13773116/yves_marie-joseph-cardinal-congar,http://www.catholic-hierarchy.org/bishop/bcongar.html,null,council,28,France,1904,1995,58,91,Cardinal,null,yes,null,https://en.wikipedia.org/wiki/Yves_Congar#/media/File:Congar_concile_1964.jpg,null,9781921817458,null,null,null,"temporarily forbidden to teach, connected to Nouvelle Theologie",null,
Connell,Franciscus,Francis,null,CSSR,1,1,1,1,https://en.wikipedia.org/wiki/Francis_Jeremiah_Connell,https://www.wikidata.org/wiki/Q5481487,http://viaf.org/viaf/64908034,https://worldcat.org/identities/lccn-n97088987/,https://www.findagrave.com/memorial/142398768/francis-j-connell,null,null,council,1,USA,1888,1967,74,79,null,null,yes,null,https://thecatholicnewsarchive.org/?a=d&d=cwp19531207-01.2.11&srpos=2&e=-------en-20--1--txt-txIN-%22francis+connell%22~1-ILLUSTRATION------,null,null,null,no,null,null,null,"Dean of Catholic University of America,"
Connolly,Ioannes,John,Patrick,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q107302967,http://viaf.org/viaf/31620729,https://www.worldcat.org/identities/lccn-no98118766/,https://www.findagrave.com/memorial/14523409/john-patrick-connolly,null,Subject of article,council,0,USA,1911,1991,51,80,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=tmon19580307-01.2.217&srpos=2&e=-------en-20--1--txt-txIN-%22john+connolly%22~1-------,null,null,null,no,null,null,null,
Connolly,Nicolaus,Nicholas,Patrick,null,0,1,1,1,null,null,http://viaf.org/viaf/26689313,https://worldcat.org/identities/lccn-no98118812/,https://www.findagrave.com/memorial/111911762/nicholas-p-connolly,null,null,council,0,USA,1909,1977,53,68,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=tmon19590424-01.2.190&srpos=2&e=-------en-20--1--txt-txIN-%22nicholas+connolly%22~1-ILLUSTRATION------,null,null,null,no,null,null,null,
Conway,Dominicus,Dominic,null,null,0,0,1,1,https://en.wikipedia.org/wiki/Dominic_Joseph_Conway,https://www.wikidata.org/wiki/Q5290565,http://viaf.org/viaf/315944689,null,null,http://www.catholic-hierarchy.org/bishop/bconwayd.html,Obituary,council,2,Ireland,1918,1996,44,78,Bishop,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19680419-01.2.71&srpos=3&e=-------en-20--1--txt-txIN-dominic+conway-------,null,null,null,null,null,null,null,
Cottier,Martinus Maria,Georges,Marie Martin,OP,0,0,0,1,https://en.wikipedia.org/wiki/Georges_Cottier,https://www.wikidata.org/wiki/Q60026,http://viaf.org/viaf/85161384,https://worldcat.org/identities/lccn-n50018758/,https://www.findagrave.com/memorial/210727844/georges-marie_martin-cottier,https://www.catholic-hierarchy.org/bishop/bcot.html,Biography (article),council,22,Switzerland,1922,2016,40,94,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Georges_Cottier#/media/File:Cardinal_Cottier.jpg,null,null,yes (missing names),null,null,null,null,anti-Lefebvre; theologian of the papal household
Cremin,Patritius,Patrick,Francis,null,1,1,1,1,https://en.wikipedia.org/wiki/Francis_Cremin,https://www.wikidata.org/wiki/Q5480640,null,null,null,null,Subject of article,council,1,Ireland,1910,2001,52,91,null,null,null,https://www.flickr.com/photos/irishcollege/9813722656,null,null,null,null,null,null,unclear,null,
Crepeault,Paulus Aemilius,Paul-Emile,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93247813,http://viaf.org/viaf/72146462772627772869,https://worldcat.org/identities/viaf-72146462772627772869/,null,null,null,council,0,France,1911,null,51,null,null,null,null,null,null,null,null,null,null,null,null,null,
Crinion,,nodata,null,null,null,null,null,null,null,null,null,null,null,null,Mentioned in article,private,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Crovella,Hercules,Ercole,null,null,1,1,1,1,null,null,http://viaf.org/viaf/89118970,https://worldcat.org/identities/viaf-89118970/,null,null,null,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Crump,Franciscus,Francis,null,OMI,0,0,1,1,null,null,http://viaf.org/viaf/88723122,null,https://www.findagrave.com/memorial/173655834/francis-joseph-crump,null,Mentioned in article,council,0,USA,1911,1994,51,83,null,null,null,null,null,null,null,null,no,null,null,null,college president
Cummins,Ioannes,John,Stephen,null,0,1,1,1,https://en.wikipedia.org/wiki/John_Stephen_Cummins,https://www.wikidata.org/wiki/Q1701813,null,null,n/a,https://www.catholic-hierarchy.org/bishop/bcummins.html,null,council,6,USA,1928,living,34,null,Bishop,null,null,https://oakdiocese.org/photoalbums/bishop-cummins/20051013T0900-RETIRED%20US%20BISHOP%20JOHN%20S%20CUMMINS%20AMONG%20THOSE%20WH-1239484.JPG,null,null,9781507711644,null,no,null,null,null,
Curran,Carolus,Charles,null,null,0,0,1,1,https://en.wikipedia.org/wiki/Charles_Arthur_Curran,https://www.wikidata.org/wiki/Q16221556,http://viaf.org/viaf/17350339,https://worldcat.org/identities/lccn-n50017182/,https://www.findagrave.com/memorial/83104010/charles-a-curran,null,Obituary,council,2,USA,1913,1978,49,65,null,null,null,null,null,null,null,null,no,null,null,null,
D'Ascenzi,Ioannes,Giovanni,null,null,0,0,0,1,https://en.wikipedia.org/wiki/Giovanni_D%27Ascenzi,https://www.wikidata.org/wiki/Q472459,http://viaf.org/viaf/199007650,https://worldcat.org/identities/viaf-199007650/,null,http://www.catholic-hierarchy.org/bishop/bdascenzi.html,null,council,5,Italy,1920,2013,42,93,Bishop,null,null,https://www.beweb.chiesacattolica.it/VisualizzaImmagine.do?sercd=2289&prog=1&contesto=entita&tipo=M4&fixedside=height,null,null,null,null,null,null,null,null,
D'Ercole,Ioseph,Giuseppe,null,null,1,1,1,1,null,null,http://viaf.org/viaf/64402619,https://worldcat.org/identities/viaf-64402619/,null,null,null,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,coauthored book with Alphons Stickler
Da Milano,Hilarinus,Ilarino,null,OFM Capuchin,1,1,1,1,null,https://www.wikidata.org/wiki/Q93268125,http://viaf.org/viaf/70228123,https://www.worldcat.org/identities/lccn-n80072468/,null,null,Mentioned in book,council,0,Italy,1905,1981,76,76,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=cwp19630311-01.2.5&srpos=4&e=-------en-20--1--txt-txIN-Ilarino+da+Milano-------,null,null,"yes (difficulty with last name, a Mediolano vs da Milano)",no,null,null,null,"Pope's preacher', predecessor to Raniero Cantalamessa (Ilarino also went by Alfredo Marchesi)"
Dale,Romaeus,Romeu,null,OP,0,0,1,1,null,null,http://viaf.org/viaf/231033945,https://www.worldcat.org/identities/lccn-n85382434/,null,null,Mentioned in article,council,0,Brazil,1912,null,50,null,null,null,null,null,null,null,OCLC: 1851041,null,null,null,null,null,
Daly,Cathal.,Cahal,null,null,0,0,1,1,https://en.wikipedia.org/wiki/Cahal_Daly,https://www.wikidata.org/wiki/Q628738,http://viaf.org/viaf/79444511,https://worldcat.org/identities/lccn-n85066457/,https://www.findagrave.com/memorial/46207964/cahal-brendan-daly,http://www.catholic-hierarchy.org/bishop/bdalyc.html,Obituary,council,15,Ireland,1917,2009,45,92,Cardinal,null,null,https://www.bbc.co.uk/staticarchive/25e1919a87ba03f501fb5cd3a067030e63c14449.jpg,null,null,9781853903199,null,null,null,null,null,
Daly,Ioannes,John,null,CSSP,0,0,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Ireland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Danielou,Ioannes,Jean,null,SJ,1,1,1,1,https://en.wikipedia.org/wiki/Jean_Dani%C3%A9lou,https://www.wikidata.org/wiki/Q355495,http://viaf.org/viaf/4928609,https://worldcat.org/identities/lccn-n80067120/,https://www.findagrave.com/memorial/26616237/jean-dani%C3%A9lou,https://www.catholic-hierarchy.org/bishop/bdanielou.html,Subject of article,council,22,France,1905,1974,57,69,Cardinal,null,yes,null,https://en.wikipedia.org/wiki/Jean_Dani%C3%A9lou#/media/File:Giorgio_La_Pira_and_Jean_Dani%C3%A9lou.jpg,null,null,null,null,null,connected to Nouvelle Theologie,null,
Davis,Carolus,Charles,null,null,0,0,1,1,https://en.wikipedia.org/wiki/Charles_Davis_(theologian),https://www.wikidata.org/wiki/Q16014344,http://viaf.org/viaf/113887148,https://worldcat.org/identities/lccn-n50035516/,null,null,Subject of article,council,2,England,1923,1999,39,76,null,null,null,https://www.alamy.com/feb-02-1967-ex-priest-weds-mr-charles-davis-43-the-former-roman-catholic-image69426758.html,null,null,null,null,null,null,null,"yes, married",
Davis,Henricus Franciscus,Henry,Francis,null,1,1,1,1,null,null,http://viaf.org/viaf/5454152451243706650007,null,null,null,Obituary,council,0,England,1903,1986,59,83,null,null,null,null,null,null,null,null,null,null,null,null,
De Clercq,Carolus,Charles,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q59631682,http://viaf.org/viaf/93358575,https://worldcat.org/identities/lccn-n84050948/,null,null,null,council,0,Belgium,1905,1982,57,77,null,null,null,null,null,null,OCLC: 1734817,null,null,null,null,null,
De Lubac,Henricus,Henri,null,SJ,1,1,1,1,https://en.wikipedia.org/wiki/Henri_de_Lubac,https://www.wikidata.org/wiki/Q353956,http://viaf.org/viaf/108353544,https://worldcat.org/identities/lccn-n50045141/,https://www.findagrave.com/memorial/26616090/henri-marie-de_lubac,https://www.catholic-hierarchy.org/bishop/bdelubac.html,null,council,27,France,1896,1991,66,95,Cardinal,null,yes,null,"https://en.wikipedia.org/wiki/Henri_de_Lubac#/media/File:Henri_de_Lubac,_S.J.jpg",null,9781621640127,null,null,null,"book placed on Index of Forbidden Books, temporarily forbidden to teach, connected to Nouvelle Theologie",null,
De Riedmatten,Henricus,Henri,null,OP,0,1,1,1,https://de.wikipedia.org/wiki/Henri_de_Riedmatten,https://www.wikidata.org/wiki/Q78069725,http://viaf.org/viaf/95205284,https://worldcat.org/identities/lccn-nr2004010095/,null,null,null,council,1,Switzerland,1919,1979,43,60,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19670929-01.2.19&srpos=17&e=------196-en-20--1--txt-txIN-De+Riedmatten-------,null,null,null,null,null,null,null,representative of the Holy See to the UN
Defrense,Marcellus,null,null,null,0,1,1,1,null,null,null,null,null,null,null,council,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Del Portillo,Alvarus,Alvaro,null,Opus Dei,1,1,1,1,https://en.wikipedia.org/wiki/%C3%81lvaro_del_Portillo,https://www.wikidata.org/wiki/Q251479,http://viaf.org/viaf/34461712,https://worldcat.org/identities/lccn-n83033496/,https://www.findagrave.com/memorial/27878832/%C3%A1lvaro-del_portillo,https://www.catholic-hierarchy.org/bishop/bdpds.html,null,council,25,Spain,1914,1994,48,80,Bishop,Blessed,null,null,https://en.wikipedia.org/wiki/%C3%81lvaro_del_Portillo#/media/File:Alvaro_Del_Portillo.png,null,null,null,null,null,null,null,succeeded St. Josemaria Escriva
Del Ton,Ioseph,Giuseppe,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93269457,http://viaf.org/viaf/8755042,https://worldcat.org/identities/lccn-n83032091/,null,null,Encyclopedia entry,council,0,Italy,1900,1997,62,97,null,null,null,https://www.istrapedia.hr/media/__sized__/uploads/images/del_ton_giuseppe_NgnMd8M-crop-c0-33__0-31-400x500-70.jpg,null,null,null,null,null,null,null,null,"expert in classical languages, assisted at least 6 popes"
Delacroix,Simon,Simon,null,null,0,1,1,1,null,https://www.wikidata.org/wiki/Q110226113,http://viaf.org/viaf/188424402,https://worldcat.org/identities/viaf-188424402/,null,null,null,council,0,France,1901,1969,61,68,null,null,null,null,null,null,null,null,null,null,null,null,
Delhaye,Philippus,Philippe,null,null,0,1,1,1,https://nl.wikipedia.org/wiki/Philippe_Delhaye,https://www.wikidata.org/wiki/Q42294379,http://viaf.org/viaf/27059191,https://worldcat.org/identities/lccn-n83215551/,null,null,null,council,1,Belgium,1912,1990,50,78,null,null,null,null,null,null,null,null,null,null,unclear,null,
Delly,Emmanuel,Emmanuel III,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Emmanuel_III_Delly,https://www.wikidata.org/wiki/Q469835,http://viaf.org/viaf/41258897,https://worldcat.org/identities/lccn-n2005201503/,https://www.findagrave.com/memorial/127670896/emmanuel-delly,http://www.catholic-hierarchy.org/bishop/bdelly.html,null,council,21,Iraq,1927,2014,35,87,Patriarch,null,null,null,https://en.wikipedia.org/wiki/Emmanuel_III_Delly#/media/File:Emmanuel_III_Delly.jpg,appointed bishop,null,null,null,null,null,null,
